"mixedUseAssessmentKey","provalLrsnId","realEstatePropertyCode","assessmentChangeReasonTypeDsc","mixedUseAssessmentDate","commercialLandAmt","commercialImprovementAmt","totalCommercialAmt","residentialLandAmt","residentialImprovementAmt","totalResidentialAmt"
"49","10859","07006016","","2012-01-01T00:00:00","52500","188600","241100","363100","829000","1192100"
"50","10859","07006016","","2011-01-01T00:00:00","48300","192800","241100","367300","777200","1144500"
"51","10859","07006016","","2010-01-01T00:00:00","50400","171400","221800","365200","687600","1052800"
"52","10859","07006016","01- Annual","2013-01-01T00:00:00","52500","191100","243600","363100","841700","1204800"
"53","10859","07006016","","2009-01-01T00:00:00","63000","187100","250100","488900","591700","1080600"
"54","10859","07006016","","2008-01-01T00:00:00","63000","208400","271400","488900","683500","1172400"
"55","11215","07007037","","2008-01-01T00:00:00","142500","299500","442000","519300","473200","992500"
"56","11215","07007037","","2009-01-01T00:00:00","142500","234500","377000","519300","327200","846500"
"57","11215","07007037","01- Annual","2013-01-01T00:00:00","118800","292000","410800","322600","700000","1022600"
"58","11215","07007037","","2010-01-01T00:00:00","114000","233700","347700","327400","515900","843300"
"59","11215","07007037","","2011-01-01T00:00:00","109300","267800","377100","332100","582400","914500"
"60","11215","07007037","","2012-01-01T00:00:00","118800","287700","406500","322600","704400","1027000"
"61","11215","07007037","01- Annual","2014-01-01T00:00:00","40300","384000","424300","322600","703400","1026000"
"62","11215","07007037","01- Annual","2016-01-01T00:00:00","118800","285300","404100","377600","575300","952900"
"63","11215","07007037","01- Annual","2015-01-01T00:00:00","118800","355400","474200","356600","745000","1101600"
"64","11406","07012015","01- Annual","2015-01-01T00:00:00","486500","-33100","453400","0","316900","316900"
"65","11406","07012015","01- Annual","2014-01-01T00:00:00","366500","86900","453400","120000","191300","311300"
"66","11406","07012015","","2012-01-01T00:00:00","366500","60200","426700","120000","102600","222600"
"67","11406","07012015","","2011-01-01T00:00:00","376500","24400","400900","110000","99600","209600"
"68","11406","07012015","","2010-01-01T00:00:00","374500","3800","378300","112000","84400","196400"
"69","11406","07012015","01- Annual","2013-01-01T00:00:00","366500","66700","433200","120000","104300","224300"
"70","11406","07012015","","2009-01-01T00:00:00","354500","17200","371700","132000","100800","232800"
"71","11406","07012015","","2008-01-01T00:00:00","354500","13000","367500","132000","81600","213600"
"72","15138","10028012","","2008-01-01T00:00:00","104000","619300","723300","396000","12900","408900"
"73","15138","10028012","","2009-01-01T00:00:00","104000","594400","698400","396000","28000","424000"
"74","15138","10028012","01- Annual","2013-01-01T00:00:00","140000","647800","787800","360000","182000","542000"
"75","15138","10028012","","2010-01-01T00:00:00","164000","484200","648200","336000","21800","357800"
"76","15138","10028012","","2011-01-01T00:00:00","170000","534800","704800","330000","28600","358600"
"77","15138","10028012","","2012-01-01T00:00:00","140000","647800","787800","360000","100400","460400"
"78","15138","10028012","01- Annual","2014-01-01T00:00:00","140000","647800","787800","360000","299900","659900"
"79","15138","10028012","01- Annual","2015-01-01T00:00:00","500000","345200","845200","0","911100","911100"
"80","15235","10035023","","2012-01-01T00:00:00","1102000","117400","1219400","198000","120700","318700"
"81","15235","10035023","","2011-01-01T00:00:00","1102000","43500","1145500","198000","87800","285800"
"82","15235","10035023","","2010-01-01T00:00:00","1102000","13200","1115200","198000","62200","260200"
"83","15235","10035023","01- Annual","2013-01-01T00:00:00","1102000","134200","1236200","198000","118300","316300"
"84","15235","10035023","","2009-01-01T00:00:00","1102000","122000","1224000","198000","110400","308400"
"85","15235","10035023","","2008-01-01T00:00:00","1102000","108100","1210100","198000","77100","275100"
"86","16193","11012005","","2008-01-01T00:00:00","30300","0","30300","1097900","0","1097900"
"87","16194","11012006","","2008-01-01T00:00:00","36200","0","36200","1313800","0","1313800"
"88","16195","11012008","","2008-01-01T00:00:00","37800","0","37800","1371400","0","1371400"
"89","16196","11012009","","2008-01-01T00:00:00","34100","0","34100","1235700","0","1235700"
"90","16197","11012010","","2008-01-01T00:00:00","18800","0","18800","680300","0","680300"
"91","16206","11012020","","2008-01-01T00:00:00","58500","0","58500","2122700","0","2122700"
"92","16207","11012021","","2008-01-01T00:00:00","56000","0","56000","2029900","0","2029900"
"93","16210","11012025","","2008-01-01T00:00:00","67000","0","67000","2428600","0","2428600"
"94","16211","11012026","","2008-01-01T00:00:00","50800","0","50800","1843700","0","1843700"
"95","19075","13018009","01- Annual","2018-01-01T00:00:00","106500","36900","143400","6103300","1623900","7727200"
"96","19076","13018012","01- Annual","2018-01-01T00:00:00","10700","29600","40300","612400","1299100","1911500"
"97","19077","13018013","01- Annual","2018-01-01T00:00:00","45000","29600","74600","2580300","1299100","3879400"
"98","19078","13018014","01- Annual","2018-01-01T00:00:00","54000","29600","83600","3093300","1299100","4392400"
"99","19079","13018016","01- Annual","2018-01-01T00:00:00","34300","29600","63900","1965400","1299100","3264500"
"100","19080","13018017","01- Annual","2018-01-01T00:00:00","9100","29600","38700","523300","1299100","1822400"
"101","19601","13031015","","2008-01-01T00:00:00","171500","232200","403700","66000","18300","84300"
"102","19601","13031015","","2009-01-01T00:00:00","171500","101300","272800","66000","462600","528600"
"103","19601","13031015","01- Annual","2013-01-01T00:00:00","177500","237800","415300","60000","476900","536900"
"104","19601","13031015","","2010-01-01T00:00:00","181500","84400","265900","56000","390000","446000"
"105","19601","13031015","","2011-01-01T00:00:00","182500","84900","267400","55000","445100","500100"
"106","19601","13031015","","2012-01-01T00:00:00","177500","125000","302500","60000","496500","556500"
"107","21915","14022010","","2012-01-01T00:00:00","124600","179700","304300","180000","133700","313700"
"108","21915","14022010","","2011-01-01T00:00:00","139600","146300","285900","165000","101700","266700"
"109","21915","14022010","","2010-01-01T00:00:00","136600","135300","271900","168000","74800","242800"
"110","21915","14022010","01- Annual","2013-01-01T00:00:00","124600","209100","333700","180000","106200","286200"
"111","21915","14022010","","2009-12-01T00:00:00","106600","183200","289800","198000","89800","287800"
"112","21915","14022010","","2009-01-01T00:00:00","238600","500800","739400","66000","36800","102800"
"113","21915","14022010","","2008-01-01T00:00:00","238600","136500","375100","66000","28200","94200"
"114","21915","14022010","01- Annual","2014-01-01T00:00:00","174000","247300","421300","174100","44400","218500"
"115","21915","14022010","01- Annual","2015-01-01T00:00:00","348100","73200","421300","0","298600","298600"
"116","22480","14032001","01- Annual","2017-01-01T00:00:00","142200","534100","676300","9129900","33230700","42360600"
"117","22481","14032002","01- Annual","2017-01-01T00:00:00","23900","0","23900","1534000","5582700","7116700"
"118","22482","14032003","01- Annual","2017-01-01T00:00:00","87500","0","87500","5615000","20439400","26054400"
"119","22483","14032004","01- Annual","2017-01-01T00:00:00","101400","593600","695000","6511100","23699500","30210600"
"120","22506","14035001","01- Annual","2013-01-01T00:00:00","55000","0","55000","2674500","0","2674500"
"121","22507","14035002","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"122","22508","14035003","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"123","22510","14035005","01- Annual","2013-01-01T00:00:00","61900","0","61900","3006100","0","3006100"
"124","22511","14035006","01- Annual","2013-01-01T00:00:00","51600","0","51600","2505100","0","2505100"
"125","22512","14035008","01- Annual","2013-01-01T00:00:00","82500","0","82500","4008200","0","4008200"
"126","22513","14035010","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"127","22514","14035011","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"128","22516","14035013","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"129","22517","14035014","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"130","22518","14035015","01- Annual","2013-01-01T00:00:00","41200","0","41200","2004100","0","2004100"
"131","22519","14035016","01- Annual","2013-01-01T00:00:00","44200","0","44200","2146400","0","2146400"
"132","22520","14035018","01- Annual","2013-01-01T00:00:00","12900","0","12900","626300","0","626300"
"133","22521","14035019","01- Annual","2013-01-01T00:00:00","12900","0","12900","626300","0","626300"
"134","22522","14035020","01- Annual","2013-01-01T00:00:00","12900","0","12900","626300","0","626300"
"135","22523","14035021","01- Annual","2013-01-01T00:00:00","12900","0","12900","626300","0","626300"
"137","23311","14042574","01- Annual","2017-01-01T00:00:00","287700","2261800","2549500","32938000","112999200","145937200"
"138","23311","14042574","01- Annual","2016-01-01T00:00:00","287700","2219100","2506800","31023000","119753600","150776600"
"139","23311","14042574","03- Board of Equalization","2015-11-03T00:00:00","287700","2186700","2474400","29491000","119712500","149203500"
"140","23311","14042574","01- Annual","2015-01-01T00:00:00","287700","2218100","2505800","29491000","124247100","153738100"
"141","23311","14042574","03- Board of Equalization","2014-09-09T00:00:00","287700","1889100","2176800","26810000","126024000","152834000"
"142","23311","14042574","01- Annual","2014-01-01T00:00:00","287700","1935900","2223600","26810000","130922900","157732900"
"143","23311","14042574","03- Board of Equalization","2016-09-30T00:00:00","287700","2219100","2506800","31023000","113668800","144691800"
"144","23311","14042574","01- Annual","2018-01-01T00:00:00","287700","1921800","2209500","32938000","111902800","144840800"
"145","23311","14042574","01- Annual","2013-01-01T00:00:00","287700","1786100","2073800","26810000","116931100","143741100"
"146","23311","14042574","","2008-01-01T00:00:00","287700","1511600","1799300","25278000","93891000","119169000"
"147","23311","14042574","","2009-01-01T00:00:00","287700","1439700","1727400","25278000","81508800","106786800"
"148","23311","14042574","","2010-01-01T00:00:00","230200","1569100","1799300","21448000","85602800","107050800"
"149","23311","14042574","","2011-01-01T00:00:00","263700","1640900","1904600","22980000","91550300","114530300"
"150","23311","14042574","","2012-01-01T00:00:00","287700","1666000","1953700","26810000","105883200","132693200"
"151","23343","14045008","","2012-01-01T00:00:00","1611700","8427600","10039300","35630000","128250900","163880900"
"152","23343","14045008","","2011-01-01T00:00:00","1477400","6681500","8158900","27995000","102096000","130091000"
"153","23343","14045008","","2010-01-01T00:00:00","1289300","6493700","7783000","28504000","91856700","120360700"
"154","23343","14045008","","2012-10-01T00:00:00","1611700","8446100","10057800","35630000","117263600","152893600"
"155","23343","14045008","","2010-10-01T00:00:00","1289300","6234700","7524000","28504000","88194800","116698800"
"156","23343","14045008","","2009-10-01T00:00:00","1611700","7354300","8966000","33594000","104160200","137754200"
"157","23343","14045008","","2009-01-01T00:00:00","1611700","7354300","8966000","33594000","114854700","148448700"
"158","23343","14045008","","2008-01-01T00:00:00","1611700","7468400","9080100","33594000","96140900","129734900"
"159","23343","14045008","01- Annual","2013-01-01T00:00:00","1611700","8427600","10039300","35630000","128250900","163880900"
"160","23343","14045008","01- Annual","2013-01-01T00:00:00","1611700","8427600","10039300","35630000","128250900","163880900"
"161","23343","14045008","01- Annual","2018-01-01T00:00:00","1611700","7637500","9249200","43774000","123264200","167038200"
"162","23343","14045008","03- Board of Equalization","2017-08-31T00:00:00","1611700","7547400","9159100","43774000","112848800","156622800"
"163","23343","14045008","03- Board of Equalization","2016-09-06T00:00:00","1611700","7938800","9550500","41229000","106429900","147658900"
"164","23343","14045008","01- Annual","2014-01-01T00:00:00","1611700","9546700","11158400","35630000","137308900","172938900"
"165","23343","14045008","03- Board of Equalization","2014-08-29T00:00:00","1611700","9546700","11158400","35630000","121967900","157597900"
"166","23343","14045008","01- Annual","2015-01-01T00:00:00","1611700","9397900","11009600","39193000","134474900","173667900"
"167","23343","14045008","01- Annual","2016-01-01T00:00:00","1611700","8256800","9868500","41229000","121990500","163219500"
"168","23343","14045008","03- Board of Equalization","2015-07-20T00:00:00","1649600","7682600","9332200","39193000","116757800","155950800"
"169","23343","14045008","01- Annual","2017-01-01T00:00:00","1611700","7657400","9269100","43774000","114729900","158503900"
"170","23344","14046006","01- Annual","2016-01-01T00:00:00","18700","0","18700","2818400","0","2818400"
"171","23344","14046006","01- Annual","2015-01-01T00:00:00","18700","0","18700","2679200","0","2679200"
"172","23344","14046006","01- Annual","2014-01-01T00:00:00","18700","0","18700","2435700","0","2435700"
"173","23344","14046006","01- Annual","2017-01-01T00:00:00","18700","0","18700","2992400","0","2992400"
"174","23344","14046006","01- Annual","2018-01-01T00:00:00","18700","0","18700","2992400","0","2992400"
"175","23344","14046006","01- Annual","2013-01-01T00:00:00","18700","0","18700","2435700","0","2435700"
"176","23344","14046006","","2008-01-01T00:00:00","18700","0","18700","2296500","0","2296500"
"177","23344","14046006","","2009-01-01T00:00:00","18700","0","18700","2296500","0","2296500"
"178","23344","14046006","","2010-01-01T00:00:00","14900","0","14900","1948500","0","1948500"
"179","23344","14046006","","2011-01-01T00:00:00","17100","0","17100","2087700","0","2087700"
"180","23344","14046006","","2012-01-01T00:00:00","18700","0","18700","2435700","0","2435700"
"181","23348","14046026","","2012-01-01T00:00:00","1400","0","1400","187800","0","187800"
"182","23348","14046026","","2011-01-01T00:00:00","1300","0","1300","161000","0","161000"
"183","23348","14046026","","2010-01-01T00:00:00","1200","0","1200","150300","0","150300"
"184","23348","14046026","","2009-01-01T00:00:00","1400","0","1400","177100","0","177100"
"185","23348","14046026","","2008-01-01T00:00:00","1400","0","1400","177100","0","177100"
"186","23348","14046026","01- Annual","2013-01-01T00:00:00","1400","0","1400","187800","0","187800"
"187","23348","14046026","01- Annual","2018-01-01T00:00:00","1400","0","1400","230800","0","230800"
"188","23348","14046026","01- Annual","2017-01-01T00:00:00","1400","0","1400","230800","0","230800"
"189","23348","14046026","01- Annual","2014-01-01T00:00:00","1400","0","1400","187800","0","187800"
"190","23348","14046026","01- Annual","2015-01-01T00:00:00","1400","0","1400","206600","0","206600"
"191","23348","14046026","01- Annual","2016-01-01T00:00:00","1400","0","1400","217400","0","217400"
"192","23349","14046027","01- Annual","2016-01-01T00:00:00","8000","0","8000","1204900","0","1204900"
"193","23349","14046027","01- Annual","2015-01-01T00:00:00","8000","0","8000","1145400","0","1145400"
"194","23349","14046027","01- Annual","2014-01-01T00:00:00","8000","0","8000","1041300","0","1041300"
"195","23349","14046027","01- Annual","2017-01-01T00:00:00","8000","0","8000","1279300","0","1279300"
"196","23349","14046027","01- Annual","2018-01-01T00:00:00","8000","0","8000","1279300","0","1279300"
"197","23349","14046027","01- Annual","2013-01-01T00:00:00","8000","0","8000","1041300","0","1041300"
"198","23349","14046027","","2008-01-01T00:00:00","8000","0","8000","981800","0","981800"
"199","23349","14046027","","2009-01-01T00:00:00","8000","0","8000","981800","0","981800"
"200","23349","14046027","","2010-01-01T00:00:00","6400","0","6400","833000","0","833000"
"201","23349","14046027","","2011-01-01T00:00:00","7300","0","7300","892500","0","892500"
"202","23349","14046027","","2012-01-01T00:00:00","8000","0","8000","1041300","0","1041300"
"203","23350","14046028","","2012-01-01T00:00:00","9300","0","9300","1217800","0","1217800"
"204","23350","14046028","","2011-01-01T00:00:00","8600","0","8600","1043900","0","1043900"
"205","23350","14046028","","2010-01-01T00:00:00","7500","0","7500","974300","0","974300"
"206","23350","14046028","","2009-01-01T00:00:00","9300","0","9300","1148200","0","1148200"
"207","23350","14046028","","2008-01-01T00:00:00","9300","0","9300","1148200","0","1148200"
"208","23350","14046028","01- Annual","2013-01-01T00:00:00","9300","0","9300","1217800","0","1217800"
"209","23350","14046028","01- Annual","2018-01-01T00:00:00","9300","0","9300","1496200","0","1496200"
"210","23350","14046028","01- Annual","2017-01-01T00:00:00","9300","0","9300","1496200","0","1496200"
"211","23350","14046028","01- Annual","2014-01-01T00:00:00","9300","0","9300","1217800","0","1217800"
"212","23350","14046028","01- Annual","2015-01-01T00:00:00","9300","0","9300","1339600","0","1339600"
"213","23350","14046028","01- Annual","2016-01-01T00:00:00","9300","0","9300","1409200","0","1409200"
"214","23351","14046029","01- Annual","2016-01-01T00:00:00","155800","1290800","1446600","23510100","90163000","113673100"
"215","23351","14046029","01- Annual","2015-01-01T00:00:00","155800","1271600","1427400","22349100","89113900","111463000"
"216","23351","14046029","03- Board of Equalization","2014-10-06T00:00:00","155800","1015200","1171000","20317400","67225500","87542900"
"217","23351","14046029","01- Annual","2014-01-01T00:00:00","155800","1278200","1434000","20317400","95657000","115974400"
"218","23351","14046029","01- Annual","2017-01-01T00:00:00","155800","1306900","1462700","24961300","91482100","116443400"
"219","23351","14046029","01- Annual","2018-01-01T00:00:00","155800","897200","1053000","24961300","92100500","117061800"
"220","23351","14046029","03- Board of Equalization","2017-10-24T00:00:00","155800","919500","1075300","24961300","88328700","113290000"
"221","23351","14046029","03- Board of Equalization","2013-08-12T00:00:00","155800","1099700","1255500","20317400","95093800","115411200"
"222","23351","14046029","","2009-09-01T00:00:00","155800","971200","1127000","19156400","77861500","97017900"
"223","23351","14046029","01- Annual","2013-01-01T00:00:00","155800","1170100","1325900","20317400","97428600","117746000"
"224","23351","14046029","","2008-01-01T00:00:00","155800","1004100","1159900","19156400","76005800","95162200"
"225","23351","14046029","","2009-01-01T00:00:00","155800","971200","1127000","19156400","75958400","95114800"
"226","23351","14046029","","2010-01-01T00:00:00","124600","920800","1045400","16253900","70169800","86423700"
"227","23351","14046029","","2011-01-01T00:00:00","142800","1016100","1158900","17414900","76342600","93757500"
"228","23351","14046029","","2012-01-01T00:00:00","155800","1087200","1243000","20317400","85940900","106258300"
"229","23353","14047019","","2012-01-01T00:00:00","339600","4048800","4388400","23348600","179595400","202944000"
"230","23353","14047019","","2011-01-01T00:00:00","311300","3671500","3982800","20013100","158549400","178562500"
"231","23353","14047019","","2010-01-01T00:00:00","271700","3464600","3736300","18678800","129817800","148496600"
"232","23353","14047019","","2009-01-01T00:00:00","339600","3869400","4209000","22014400","145767500","167781900"
"233","23353","14047019","","2008-01-01T00:00:00","339600","4060900","4400500","22014400","151153100","173167500"
"234","23353","14047019","01- Annual","2013-01-01T00:00:00","339600","4161800","4501400","23348600","186308100","209656700"
"235","23353","14047019","01- Annual","2018-01-01T00:00:00","339600","0","339600","28685400","0","28685400"
"236","23353","14047019","03- Board of Equalization","2016-09-30T00:00:00","339600","6688000","7027600","27017600","199063000","226080600"
"237","23353","14047019","01- Annual","2017-01-01T00:00:00","339600","5589500","5929100","28685400","192111700","220797100"
"238","23353","14047019","01- Annual","2014-01-01T00:00:00","339600","4195400","4535000","23348600","198297800","221646400"
"239","23353","14047019","01- Annual","2015-01-01T00:00:00","339600","6685000","7024600","25683400","203793900","229477300"
"240","23353","14047019","03- Board of Equalization","2015-11-03T00:00:00","339600","6592400","6932000","25683400","196751900","222435300"
"241","23353","14047019","01- Annual","2016-01-01T00:00:00","339600","6688000","7027600","27017600","201300800","228318400"
"242","23354","14047020","01- Annual","2016-01-01T00:00:00","387300","0","387300","30816400","0","30816400"
"243","23354","14047020","01- Annual","2015-01-01T00:00:00","387300","0","387300","29294600","0","29294600"
"244","23354","14047020","01- Annual","2014-01-01T00:00:00","387300","0","387300","26631400","0","26631400"
"245","23354","14047020","01- Annual","2017-01-01T00:00:00","387300","0","387300","32718600","0","32718600"
"246","23354","14047020","01- Annual","2018-01-01T00:00:00","387300","0","387300","32718600","0","32718600"
"247","23354","14047020","01- Annual","2013-01-01T00:00:00","387300","0","387300","26631400","0","26631400"
"248","23354","14047020","","2008-01-01T00:00:00","387300","0","387300","25109600","0","25109600"
"249","23354","14047020","","2009-01-01T00:00:00","387300","0","387300","25109600","0","25109600"
"250","23354","14047020","","2010-01-01T00:00:00","309800","0","309800","21305200","0","21305200"
"251","23354","14047020","","2011-01-01T00:00:00","355000","0","355000","22826900","0","22826900"
"252","23354","14047020","","2012-01-01T00:00:00","387300","0","387300","26631400","0","26631400"
"253","23846","14050036","","2012-01-01T00:00:00","588000","1857000","2445000","30660000","123550600","154210600"
"254","23846","14050036","","2011-01-01T00:00:00","539000","1105800","1644800","26280000","100065900","126345900"
"255","23846","14050036","","2010-01-01T00:00:00","470400","1083500","1553900","24528000","94678900","119206900"
"256","23846","14050036","","2009-01-01T00:00:00","588000","1177200","1765200","28908000","102627600","131535600"
"257","23846","14050036","","2008-01-01T00:00:00","588000","1274000","1862000","28908000","107826400","136734400"
"258","23846","14050036","01- Annual","2013-01-01T00:00:00","588000","4302000","4890000","30660000","121763100","152423100"
"259","23846","14050036","01- Annual","2018-01-01T00:00:00","588000","2963900","3551900","37410000","130926400","168336400"
"260","23846","14050036","01- Annual","2014-01-01T00:00:00","588000","2101500","2689500","30660000","135195800","165855800"
"261","23846","14050036","03- Board of Equalization","2014-09-09T00:00:00","588000","2101500","2689500","30660000","130982200","161642200"
"262","23846","14050036","01- Annual","2015-01-01T00:00:00","588000","2177200","2765200","33495000","129326900","162821900"
"263","23846","14050036","01- Annual","2016-01-01T00:00:00","588000","2286000","2874000","35235000","133728100","168963100"
"264","23846","14050036","01- Annual","2017-01-01T00:00:00","588000","3309900","3897900","37410000","124849300","162259300"
"265","23850","14051019","01- Annual","2017-01-01T00:00:00","552000","0","552000","20382000","1000","20383000"
"266","23850","14051019","01- Annual","2016-01-01T00:00:00","552000","0","552000","19197000","1000","19198000"
"267","23850","14051019","01- Annual","2015-01-01T00:00:00","552000","0","552000","18249000","1000","18250000"
"268","23850","14051019","01- Annual","2014-01-01T00:00:00","552000","0","552000","16590000","1000","16591000"
"269","23850","14051019","01- Annual","2018-01-01T00:00:00","552000","0","552000","20382000","1000","20383000"
"270","23850","14051019","01- Annual","2013-01-01T00:00:00","552000","0","552000","16590000","1000","16591000"
"271","23850","14051019","","2008-01-01T00:00:00","552000","0","552000","15642000","1000","15643000"
"272","23850","14051019","","2009-01-01T00:00:00","552000","0","552000","15642000","1000","15643000"
"273","23850","14051019","","2010-01-01T00:00:00","441600","0","441600","13272000","1000","13273000"
"274","23850","14051019","","2011-01-01T00:00:00","506000","0","506000","14220000","1000","14221000"
"275","23850","14051019","","2012-01-01T00:00:00","552000","0","552000","16590000","1000","16591000"
"276","24283","14060013","","2009-01-01T00:00:00","4325600","1000","4326600","2504300","0","2504300"
"277","24283","14060013","","2008-01-01T00:00:00","1767500","216700","1984200","0","0","0"
"278","24284","14060015","","2009-01-01T00:00:00","3478000","1000","3479000","2013600","0","2013600"
"279","24294","14060026","","2009-01-01T00:00:00","6064400","1000","6065400","3511000","0","3511000"
"280","24296","14060036","","2009-01-01T00:00:00","5345200","1000","5346200","3094600","0","3094600"
"281","24296","14060036","","2008-01-01T00:00:00","2329700","184000","2513700","0","0","0"
"282","24298","14060038","","2009-01-01T00:00:00","579300","1000","580300","335400","0","335400"
"283","24302","14060050","","2009-01-01T00:00:00","16897000","1000","16898000","9782400","0","9782400"
"284","24307","14060058","","2009-01-01T00:00:00","3758800","1000","3759800","2176100","0","2176100"
"285","24310","14060061","","2009-01-01T00:00:00","18000","0","18000","10400","0","10400"
"286","24313","14060065","","2009-01-01T00:00:00","801800","0","801800","464200","0","464200"
"287","25775","15062003","","2009-01-01T00:00:00","215200","164900","380100","132000","78700","210700"
"288","25775","15062003","","2008-01-01T00:00:00","215200","141300","356500","132000","51400","183400"
"289","25775","15062003","01- Annual","2013-01-01T00:00:00","227200","135500","362700","120000","95300","215300"
"290","25775","15062003","","2012-01-01T00:00:00","227200","127700","354900","120000","102600","222600"
"291","25775","15062003","","2011-01-01T00:00:00","237200","96200","333400","110000","94800","204800"
"292","25775","15062003","","2010-01-01T00:00:00","235200","96200","331400","112000","65800","177800"
"293","25775","15062003","01- Annual","2014-01-01T00:00:00","227200","135500","362700","120000","178800","298800"
