"","RegionID","postal_code","City","State","Metro","CountyName","SizeRank","time","rentprice","month","year","YearMonth","imp"
"79912.2010-11",93123,"79912","El Paso","TX","El Paso","El Paso",32,2010-11-01,1341,11,"2010",Nov 2010,0
"78572.2010-11",92515,"78572","Mission","TX","McAllen","Hidalgo",33,2010-11-01,1018,11,"2010",Nov 2010,0
"94565.2010-11",97771,"94565","Pittsburg","CA","San Francisco","Contra Costa",34,2010-11-01,1612,11,"2010",Nov 2010,0
"30349.2010-11",71067,"30349","Riverdale","GA","Atlanta","Clayton",35,2010-11-01,1065,11,"2010",Nov 2010,0
"20002.2010-11",66126,"20002","Washington","DC","Washington","District of Columbia",36,2010-11-01,2015,11,"2010",Nov 2010,0
"90046.2010-11",96027,"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",37,2010-11-01,2922,11,"2010",Nov 2010,0
"78130.2010-11",92271,"78130","New Braunfels","TX","San Antonio","Comal",38,2010-11-01,1234,11,"2010",Nov 2010,0
"78613.2010-11",92551,"78613","Cedar Park","TX","Austin","Williamson",39,2010-11-01,1372,11,"2010",Nov 2010,0
"20009.2010-11",66133,"20009","Washington","DC","Washington","District of Columbia",40,2010-11-01,2461,11,"2010",Nov 2010,0
"75052.2010-11",90654,"75052","Grand Prairie","TX","Dallas-Fort Worth","Dallas",41,2010-11-01,1278,11,"2010",Nov 2010,0
"10462.2010-11",61802,"10462","New York","NY","New York","Bronx",42,2010-11-01,NA,11,"2010",Nov 2010,0
"10456.2010-11",61796,"10456","New York","NY","New York","Bronx",43,2010-11-01,NA,11,"2010",Nov 2010,0
"37042.2010-11",74126,"37042","Clarksville","TN","Clarksville","Montgomery",44,2010-11-01,883,11,"2010",Nov 2010,0
"10003.2010-11",61617,"10003","New York","NY","New York","New York",45,2010-11-01,NA,11,"2010",Nov 2010,0
"77429.2010-11",91922,"77429","Cypress","TX","Houston","Harris",46,2010-11-01,1560,11,"2010",Nov 2010,0
"11206.2010-11",62017,"11206","New York","NY","New York","Kings",47,2010-11-01,NA,11,"2010",Nov 2010,0
"63376.2010-11",86026,"63376","Saint Peters","MO","St. Louis","Saint Charles",48,2010-11-01,1169,11,"2010",Nov 2010,0
"60613.2010-11",84615,"60613","Chicago","IL","Chicago","Cook",49,2010-11-01,1570,11,"2010",Nov 2010,0
"77479.2010-11",91968,"77479","Sugar Land","TX","Houston","Fort Bend",50,2010-11-01,2613,11,"2010",Nov 2010,0
"30044.2010-11",70829,"30044","Lawrenceville","GA","Atlanta","Gwinnett",51,2010-11-01,1106,11,"2010",Nov 2010,0
"73099.2010-11",89925,"73099","Yukon","OK","Oklahoma City","Canadian",52,2010-11-01,1074,11,"2010",Nov 2010,0
"77036.2010-11",91685,"77036","Houston","TX","Houston","Harris",53,2010-11-01,1056,11,"2010",Nov 2010,0
"77433.2010-11",91926,"77433","Cypress","TX","Houston","Harris",54,2010-11-01,1550,11,"2010",Nov 2010,0
"10463.2010-11",61803,"10463","New York","NY","New York","Bronx",55,2010-11-01,NA,11,"2010",Nov 2010,0
"11230.2010-11",62040,"11230","New York","NY","New York","Kings",56,2010-11-01,NA,11,"2010",Nov 2010,0
"60629.2010-11",84630,"60629","Chicago","IL","Chicago","Cook",57,2010-11-01,1284,11,"2010",Nov 2010,0
"11209.2010-11",62020,"11209","New York","NY","New York","Kings",58,2010-11-01,NA,11,"2010",Nov 2010,0
"60625.2010-11",84627,"60625","Chicago","IL","Chicago","Cook",59,2010-11-01,1573,11,"2010",Nov 2010,0
"30043.2010-11",70828,"30043","Lawrenceville","GA","Atlanta","Gwinnett",60,2010-11-01,1263,11,"2010",Nov 2010,0
"75034.2010-11",90637,"75034","Frisco","TX","Dallas-Fort Worth","Collin",61,2010-11-01,2185,11,"2010",Nov 2010,0
"11212.2010-11",62023,"11212","New York","NY","New York","Kings",62,2010-11-01,NA,11,"2010",Nov 2010,0
"75287.2010-11",90823,"75287","Dallas","TX","Dallas-Fort Worth","Dallas",63,2010-11-01,1709,11,"2010",Nov 2010,0
"28277.2010-11",69823,"28277","Charlotte","NC","Charlotte","Mecklenburg",64,2010-11-01,1423,11,"2010",Nov 2010,0
"10024.2010-11",61638,"10024","New York","NY","New York","New York",65,2010-11-01,NA,11,"2010",Nov 2010,0
"85032.2010-11",94748,"85032","Phoenix","AZ","Phoenix","Maricopa",66,2010-11-01,1196,11,"2010",Nov 2010,0
"07030.2010-11",60545,"07030","Hoboken","NJ","New York","Hudson",67,2010-11-01,2515,11,"2010",Nov 2010,0
"11214.2010-11",62025,"11214","New York","NY","New York","Kings",68,2010-11-01,NA,11,"2010",Nov 2010,0
"21234.2010-11",66843,"21234","Parkville","MD","Baltimore","Baltimore",69,2010-11-01,1446,11,"2010",Nov 2010,0
"33160.2010-11",72463,"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale","Miami-Dade",70,2010-11-01,1788,11,"2010",Nov 2010,0
"78521.2010-11",92481,"78521","Brownsville","TX","Brownsville","Cameron",71,2010-11-01,891,11,"2010",Nov 2010,0
"23464.2010-11",67732,"23464","Virginia Beach","VA","Virginia Beach","Virginia Beach City",72,2010-11-01,1476,11,"2010",Nov 2010,0
"77077.2010-11",91726,"77077","Houston","TX","Houston","Harris",73,2010-11-01,1743,11,"2010",Nov 2010,0
"94501.2010-11",97711,"94501","Alameda","CA","San Francisco","Alameda",74,2010-11-01,2073,11,"2010",Nov 2010,0
"30096.2010-11",70874,"30096","Duluth","GA","Atlanta","Gwinnett",75,2010-11-01,1204,11,"2010",Nov 2010,0
"78704.2010-11",92617,"78704","Austin","TX","Austin","Travis",76,2010-11-01,1595,11,"2010",Nov 2010,0
"98052.2010-11",99534,"98052","Redmond","WA","Seattle","King",77,2010-11-01,1892,11,"2010",Nov 2010,0
"77379.2010-11",91889,"77379","Tomball","TX","Houston","Harris",78,2010-11-01,1599,11,"2010",Nov 2010,0
"75243.2010-11",90795,"75243","Dallas","TX","Dallas-Fort Worth","Dallas",79,2010-11-01,1115,11,"2010",Nov 2010,0
"11221.2010-11",62032,"11221","New York","NY","New York","Kings",80,2010-11-01,NA,11,"2010",Nov 2010,0
"78245.2010-11",92341,"78245","San Antonio","TX","San Antonio","Bexar",81,2010-11-01,1072,11,"2010",Nov 2010,0
"11229.2010-11",62039,"11229","New York","NY","New York","Kings",82,2010-11-01,NA,11,"2010",Nov 2010,0
"08701.2010-11",61148,"08701","Lakewood","NJ","New York","Ocean",83,2010-11-01,1595,11,"2010",Nov 2010,0
"11207.2010-11",62018,"11207","New York","NY","New York","Kings",84,2010-11-01,NA,11,"2010",Nov 2010,0
"60619.2010-11",84621,"60619","Chicago","IL","Chicago","Cook",85,2010-11-01,1251,11,"2010",Nov 2010,0
"90034.2010-11",96015,"90034","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",86,2010-11-01,2633,11,"2010",Nov 2010,0
"94110.2010-11",97565,"94110","San Francisco","CA","San Francisco","San Francisco",87,2010-11-01,3185,11,"2010",Nov 2010,0
"78666.2010-11",92598,"78666","San Marcos","TX","Austin","Hays",88,2010-11-01,1120,11,"2010",Nov 2010,0
"30024.2010-11",70810,"30024","Suwanee","GA","Atlanta","Gwinnett",89,2010-11-01,1592,11,"2010",Nov 2010,0
"60610.2010-11",84612,"60610","Chicago","IL","Chicago","Cook",90,2010-11-01,1718,11,"2010",Nov 2010,0
"10019.2010-11",61633,"10019","New York","NY","New York","New York",91,2010-11-01,NA,11,"2010",Nov 2010,0
"44107.2010-11",77007,"44107","Lakewood","OH","Cleveland","Cuyahoga",92,2010-11-01,1001,11,"2010",Nov 2010,0
"75067.2010-11",90665,"75067","Lewisville","TX","Dallas-Fort Worth","Denton",93,2010-11-01,1346,11,"2010",Nov 2010,0
"33025.2010-11",72363,"33025","Miramar","FL","Miami-Fort Lauderdale","Broward",94,2010-11-01,1345,11,"2010",Nov 2010,0
"33411.2010-11",72578,"33411","Royal Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",95,2010-11-01,1643,11,"2010",Nov 2010,0
"33139.2010-11",72442,"33139","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",96,2010-11-01,1675,11,"2010",Nov 2010,0
"11377.2010-11",62088,"11377","New York","NY","New York","Queens",97,2010-11-01,NA,11,"2010",Nov 2010,0
"90044.2010-11",96025,"90044","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",98,2010-11-01,1649,11,"2010",Nov 2010,0
"48197.2010-11",79054,"48197","Ypsilanti","MI","Ann Arbor","Washtenaw",99,2010-11-01,1380,11,"2010",Nov 2010,0
"02169.2010-11",58669,"02169","Quincy","MA","Boston","Norfolk",100,2010-11-01,1698,11,"2010",Nov 2010,0
"23462.2010-11",67730,"23462","Virginia Beach","VA","Virginia Beach","Virginia Beach City",101,2010-11-01,1249,11,"2010",Nov 2010,0
"90805.2010-11",96239,"90805","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",102,2010-11-01,1685,11,"2010",Nov 2010,0
"66062.2010-11",87074,"66062","Olathe","KS","Kansas City","Johnson",103,2010-11-01,1267,11,"2010",Nov 2010,0
"44035.2010-11",76953,"44035","Elyria","OH","Cleveland","Lorain",104,2010-11-01,868,11,"2010",Nov 2010,0
"95630.2010-11",98325,"95630","Folsom","CA","Sacramento","Sacramento",105,2010-11-01,1718,11,"2010",Nov 2010,0
"90650.2010-11",96193,"90650","Norwalk","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",106,2010-11-01,1792,11,"2010",Nov 2010,0
"11234.2010-11",62044,"11234","New York","NY","New York","Kings",107,2010-11-01,NA,11,"2010",Nov 2010,0
"92683.2010-11",96990,"92683","Westminster","CA","Los Angeles-Long Beach-Anaheim","Orange",108,2010-11-01,2198,11,"2010",Nov 2010,0
"85710.2010-11",95048,"85710","Tucson","AZ","Tucson","Pima",109,2010-11-01,986,11,"2010",Nov 2010,0
"19143.2010-11",65810,"19143","Philadelphia","PA","Philadelphia","Philadelphia",110,2010-11-01,812,11,"2010",Nov 2010,0
"78745.2010-11",92654,"78745","Austin","TX","Austin","Travis",111,2010-11-01,1242,11,"2010",Nov 2010,0
"11355.2010-11",62067,"11355","New York","NY","New York","Queens",112,2010-11-01,NA,11,"2010",Nov 2010,0
"10314.2010-11",61790,"10314","New York","NY","New York","Richmond",113,2010-11-01,NA,11,"2010",Nov 2010,0
"60617.2010-11",84619,"60617","Chicago","IL","Chicago","Cook",114,2010-11-01,1205,11,"2010",Nov 2010,0
"30281.2010-11",71005,"30281","Stockbridge","GA","Atlanta","Henry",115,2010-11-01,1116,11,"2010",Nov 2010,0
"32210.2010-11",71864,"32210","Jacksonville","FL","Jacksonville","Duval",116,2010-11-01,899,11,"2010",Nov 2010,0
"37075.2010-11",74156,"37075","Hendersonville","TN","Nashville","Sumner",117,2010-11-01,1332,11,"2010",Nov 2010,0
"94558.2010-11",97764,"94558","Napa","CA","Napa","Napa",118,2010-11-01,1938,11,"2010",Nov 2010,0
"60611.2010-11",84613,"60611","Chicago","IL","Chicago","Cook",119,2010-11-01,1861,11,"2010",Nov 2010,0
"11215.2010-11",62026,"11215","New York","NY","New York","Kings",120,2010-11-01,NA,11,"2010",Nov 2010,0
"90026.2010-11",96007,"90026","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",121,2010-11-01,2120,11,"2010",Nov 2010,0
"85225.2010-11",94820,"85225","Chandler","AZ","Phoenix","Maricopa",122,2010-11-01,1136,11,"2010",Nov 2010,0
"91910.2010-11",96545,"91910","Chula Vista","CA","San Diego","San Diego",123,2010-11-01,2006,11,"2010",Nov 2010,0
"87111.2010-11",95306,"87111","Albuquerque","NM","Albuquerque","Bernalillo",124,2010-11-01,NA,11,"2010",Nov 2010,0
"28027.2010-11",69672,"28027","Concord","NC","Charlotte","Cabarrus",125,2010-11-01,1131,11,"2010",Nov 2010,0
"06010.2010-11",60081,"06010","Bristol","CT","Hartford","Hartford",126,2010-11-01,1368,11,"2010",Nov 2010,0
"78240.2010-11",92336,"78240","San Antonio","TX","San Antonio","Bexar",127,2010-11-01,1135,11,"2010",Nov 2010,0
"87114.2010-11",95309,"87114","Albuquerque","NM","Albuquerque","Bernalillo",128,2010-11-01,NA,11,"2010",Nov 2010,0
"89108.2010-11",95804,"89108","Las Vegas","NV","Las Vegas","Clark",129,2010-11-01,997,11,"2010",Nov 2010,0
"85308.2010-11",94890,"85308","Glendale","AZ","Phoenix","Maricopa",130,2010-11-01,1315,11,"2010",Nov 2010,0
"11211.2010-11",62022,"11211","New York","NY","New York","Kings",131,2010-11-01,NA,11,"2010",Nov 2010,0
"17603.2010-11",65133,"17603","Lancaster","PA","Lancaster","Lancaster",132,2010-11-01,1043,11,"2010",Nov 2010,0
"93722.2010-11",97431,"93722","Fresno","CA","Fresno","Fresno",133,2010-11-01,1329,11,"2010",Nov 2010,0
"80134.2010-11",93263,"80134","Parker","CO","Denver","Douglas",134,2010-11-01,1691,11,"2010",Nov 2010,0
"48180.2010-11",79040,"48180","Taylor","MI","Detroit","Wayne",135,2010-11-01,888,11,"2010",Nov 2010,0
"85281.2010-11",94870,"85281","Tempe","AZ","Phoenix","Maricopa",136,2010-11-01,1089,11,"2010",Nov 2010,0
"78577.2010-11",92520,"78577","Pharr","TX","McAllen","Hidalgo",137,2010-11-01,954,11,"2010",Nov 2010,0
"94533.2010-11",97740,"94533","Fairfield","CA","Vallejo","Solano",138,2010-11-01,1521,11,"2010",Nov 2010,0
"15601.2010-11",64180,"15601","Greensburg","PA","Pittsburgh","Westmoreland",139,2010-11-01,1010,11,"2010",Nov 2010,0
"95608.2010-11",98304,"95608","Carmichael","CA","Sacramento","Sacramento",140,2010-11-01,1476,11,"2010",Nov 2010,0
"43055.2010-11",76491,"43055","Newark","OH","Columbus","Licking",141,2010-11-01,843,11,"2010",Nov 2010,0
"43081.2010-11",76511,"43081","Westerville","OH","Columbus","Franklin",142,2010-11-01,1198,11,"2010",Nov 2010,0
"44060.2010-11",76971,"44060","Mentor","OH","Cleveland","Lake",143,2010-11-01,1182,11,"2010",Nov 2010,0
"80013.2010-11",93203,"80013","Aurora","CO","Denver","Arapahoe",144,2010-11-01,1263,11,"2010",Nov 2010,0
"33024.2010-11",72362,"33024","Pembroke Pines","FL","Miami-Fort Lauderdale","Broward",145,2010-11-01,1445,11,"2010",Nov 2010,0
"20906.2010-11",66705,"20906","Silver Spring","MD","Washington","Montgomery",146,2010-11-01,1766,11,"2010",Nov 2010,0
"33009.2010-11",72347,"33009","Hallandale","FL","Miami-Fort Lauderdale","Broward",147,2010-11-01,1342,11,"2010",Nov 2010,0
"90066.2010-11",96047,"90066","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",148,2010-11-01,2875,11,"2010",Nov 2010,0
"43123.2010-11",76534,"43123","Grove City","OH","Columbus","Franklin",149,2010-11-01,1126,11,"2010",Nov 2010,0
"97229.2010-11",99142,"97229","Cedar Mill","OR","Portland","Washington",150,2010-11-01,1591,11,"2010",Nov 2010,0
"76028.2010-11",91198,"76028","Burleson","TX","Dallas-Fort Worth","Johnson",151,2010-11-01,1248,11,"2010",Nov 2010,0
"91709.2010-11",96467,"91709","Chino Hills","CA","Riverside","San Bernardino",152,2010-11-01,2718,11,"2010",Nov 2010,0
"11385.2010-11",62093,"11385","New York","NY","New York","Queens",153,2010-11-01,NA,11,"2010",Nov 2010,0
"85364.2010-11",94940,"85364","Yuma","AZ","Yuma","Yuma",154,2010-11-01,948,11,"2010",Nov 2010,0
"11373.2010-11",62085,"11373","New York","NY","New York","Queens",155,2010-11-01,NA,11,"2010",Nov 2010,0
"14850.2010-11",63776,"14850","Ithaca","NY","Ithaca","Tompkins",156,2010-11-01,1502,11,"2010",Nov 2010,0
"65807.2010-11",87019,"65807","Springfield","MO","Springfield","Greene",157,2010-11-01,733,11,"2010",Nov 2010,0
"98012.2010-11",99500,"98012","Bothell","WA","Seattle","Snohomish",158,2010-11-01,1671,11,"2010",Nov 2010,0
"77459.2010-11",91950,"77459","Missouri City","TX","Houston","Fort Bend",159,2010-11-01,1709,11,"2010",Nov 2010,0
"92677.2010-11",96987,"92677","Laguna Niguel","CA","Los Angeles-Long Beach-Anaheim","Orange",160,2010-11-01,2592,11,"2010",Nov 2010,0
"95823.2010-11",98432,"95823","Sacramento","CA","Sacramento","Sacramento",161,2010-11-01,1285,11,"2010",Nov 2010,0
"44256.2010-11",77094,"44256","Medina","OH","Cleveland","Medina",162,2010-11-01,1346,11,"2010",Nov 2010,0
"02148.2010-11",58660,"02148","Malden","MA","Boston","Middlesex",163,2010-11-01,1860,11,"2010",Nov 2010,0
"60620.2010-11",84622,"60620","Chicago","IL","Chicago","Cook",164,2010-11-01,1246,11,"2010",Nov 2010,0
"10028.2010-11",61642,"10028","New York","NY","New York","New York",165,2010-11-01,NA,11,"2010",Nov 2010,0
"27410.2010-11",69340,"27410","Greensboro","NC","1","Guilford",166,2010-11-01,1206,11,"2010",Nov 2010,0
"45011.2010-11",77400,"45011","Hamilton","OH","Cincinnati","Butler",167,2010-11-01,1203,11,"2010",Nov 2010,0
"76063.2010-11",91221,"76063","Mansfield","TX","Dallas-Fort Worth","Tarrant",168,2010-11-01,1593,11,"2010",Nov 2010,0
"33647.2010-11",72737,"33647","Tampa","FL","Tampa","Hillsborough",169,2010-11-01,1561,11,"2010",Nov 2010,0
"92804.2010-11",97023,"92804","Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",170,2010-11-01,2118,11,"2010",Nov 2010,0
"11238.2010-11",62048,"11238","New York","NY","New York","Kings",171,2010-11-01,NA,11,"2010",Nov 2010,0
"60634.2010-11",84635,"60634","Chicago","IL","Chicago","Cook",172,2010-11-01,1573,11,"2010",Nov 2010,0
"08753.2010-11",61169,"08753","Toms River","NJ","New York","Ocean",173,2010-11-01,1628,11,"2010",Nov 2010,0
"06902.2010-11",60499,"06902","Stamford","CT","Stamford","Fairfield",174,2010-11-01,1966,11,"2010",Nov 2010,0
"65203.2010-11",86717,"65203","Columbia","MO","Columbia","Boone",175,2010-11-01,1185,11,"2010",Nov 2010,0
"47906.2010-11",78823,"47906","West Lafayette","IN","Lafayette-West Lafayette","Tippecanoe",176,2010-11-01,1278,11,"2010",Nov 2010,0
"98103.2010-11",99563,"98103","Seattle","WA","Seattle","King",177,2010-11-01,1823,11,"2010",Nov 2010,0
"92345.2010-11",96825,"92345","Hesperia","CA","Riverside","San Bernardino",178,2010-11-01,1167,11,"2010",Nov 2010,0
"75228.2010-11",90780,"75228","Dallas","TX","Dallas-Fort Worth","Dallas",179,2010-11-01,1014,11,"2010",Nov 2010,0
"92126.2010-11",96667,"92126","San Diego","CA","San Diego","San Diego",180,2010-11-01,1976,11,"2010",Nov 2010,0
"90019.2010-11",96000,"90019","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",181,2010-11-01,2360,11,"2010",Nov 2010,0
"43130.2010-11",76539,"43130","Lancaster","OH","Columbus","Fairfield",182,2010-11-01,1000,11,"2010",Nov 2010,0
"27406.2010-11",69336,"27406","Greensboro","NC","1","Guilford",183,2010-11-01,801,11,"2010",Nov 2010,0
"60016.2010-11",84285,"60016","Des Plaines","IL","Chicago","Cook",184,2010-11-01,1527,11,"2010",Nov 2010,0
"46307.2010-11",78085,"46307","Crown Point","IN","Chicago","Lake",185,2010-11-01,1378,11,"2010",Nov 2010,0
"76244.2010-11",91325,"76244","Fort Worth","TX","Dallas-Fort Worth","Tarrant",186,2010-11-01,1537,11,"2010",Nov 2010,0
"28314.2010-11",69849,"28314","Fayetteville","NC","Fayetteville","Cumberland",187,2010-11-01,926,11,"2010",Nov 2010,0
"27610.2010-11",69450,"27610","Raleigh","NC","Raleigh","Wake",188,2010-11-01,986,11,"2010",Nov 2010,0
"89121.2010-11",95817,"89121","Las Vegas","NV","Las Vegas","Clark",189,2010-11-01,1082,11,"2010",Nov 2010,0
"29732.2010-11",70698,"29732","Rock Hill","SC","Charlotte","York",190,2010-11-01,1194,11,"2010",Nov 2010,0
"75056.2010-11",90657,"75056","The Colony","TX","Dallas-Fort Worth","Denton",191,2010-11-01,1392,11,"2010",Nov 2010,0
"30040.2010-11",70825,"30040","Cumming","GA","Atlanta","Forsyth",192,2010-11-01,1495,11,"2010",Nov 2010,0
"30188.2010-11",70953,"30188","Woodstock","GA","Atlanta","Cherokee",193,2010-11-01,1208,11,"2010",Nov 2010,0
"79938.2010-11",93146,"79938","El Paso","TX","El Paso","El Paso",194,2010-11-01,1194,11,"2010",Nov 2010,0
"92336.2010-11",96817,"92336","Fontana","CA","Riverside","San Bernardino",195,2010-11-01,1944,11,"2010",Nov 2010,0
"99301.2010-11",100179,"99301","Pasco","WA","Kennewick","Franklin",196,2010-11-01,1159,11,"2010",Nov 2010,0
"20011.2010-11",66135,"20011","Washington","DC","Washington","District of Columbia",197,2010-11-01,2165,11,"2010",Nov 2010,0
"77095.2010-11",91744,"77095","Houston","TX","Houston","Harris",198,2010-11-01,1498,11,"2010",Nov 2010,0
"91911.2010-11",96546,"91911","Chula Vista","CA","San Diego","San Diego",199,2010-11-01,1852,11,"2010",Nov 2010,0
"77845.2010-11",92125,"77845","College Station","TX","College Station","Brazos",200,2010-11-01,NA,11,"2010",Nov 2010,0
"92503.2010-11",96882,"92503","Riverside","CA","Riverside","Riverside",201,2010-11-01,1533,11,"2010",Nov 2010,0
"94536.2010-11",97743,"94536","Fremont","CA","San Francisco","Alameda",202,2010-11-01,2189,11,"2010",Nov 2010,0
"27587.2010-11",69431,"27587","Wake Forest","NC","Raleigh","Wake",203,2010-11-01,1456,11,"2010",Nov 2010,0
"21740.2010-11",67010,"21740","Hagerstown","MD","Hagerstown","Washington",204,2010-11-01,1023,11,"2010",Nov 2010,0
"11233.2010-11",62043,"11233","New York","NY","New York","Kings",205,2010-11-01,NA,11,"2010",Nov 2010,0
"07302.2010-11",60639,"07302","Jersey City","NJ","New York","Hudson",206,2010-11-01,2142,11,"2010",Nov 2010,0
"90280.2010-11",96125,"90280","South Gate","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",207,2010-11-01,1718,11,"2010",Nov 2010,0
"22191.2010-11",67180,"22191","Woodbridge","VA","Washington","Prince William",208,2010-11-01,1624,11,"2010",Nov 2010,0
"19111.2010-11",65779,"19111","Philadelphia","PA","Philadelphia","Philadelphia",209,2010-11-01,1198,11,"2010",Nov 2010,0
"89117.2010-11",95813,"89117","Las Vegas","NV","Las Vegas","Clark",210,2010-11-01,1338,11,"2010",Nov 2010,0
"87120.2010-11",95314,"87120","Albuquerque","NM","Albuquerque","Bernalillo",211,2010-11-01,NA,11,"2010",Nov 2010,0
"43230.2010-11",76597,"43230","Gahanna","OH","Columbus","Franklin",212,2010-11-01,1195,11,"2010",Nov 2010,0
"40475.2010-11",75696,"40475","Richmond","KY","Richmond","Madison",213,2010-11-01,999,11,"2010",Nov 2010,0
"46227.2010-11",78042,"46227","Indianapolis","IN","Indianapolis","Marion",214,2010-11-01,1020,11,"2010",Nov 2010,0
"11236.2010-11",62046,"11236","New York","NY","New York","Kings",215,2010-11-01,NA,11,"2010",Nov 2010,0
"91730.2010-11",96477,"91730","Rancho Cucamonga","CA","Riverside","San Bernardino",216,2010-11-01,1733,11,"2010",Nov 2010,0
"23320.2010-11",67655,"23320","Chesapeake","VA","Virginia Beach","Chesapeake City",217,2010-11-01,1495,11,"2010",Nov 2010,0
"74012.2010-11",90226,"74012","Broken Arrow","OK","Tulsa","Tulsa",218,2010-11-01,1137,11,"2010",Nov 2010,0
"90201.2010-11",96083,"90201","Bell","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",219,2010-11-01,1681,11,"2010",Nov 2010,0
"92592.2010-11",96934,"92592","Temecula","CA","Riverside","Riverside",220,2010-11-01,1949,11,"2010",Nov 2010,0
"32244.2010-11",71895,"32244","Jacksonville","FL","Jacksonville","Duval",221,2010-11-01,989,11,"2010",Nov 2010,0
